Date,PM2.5,PM10,NO,NO2,NH3,SO2,CO,Ozone,Temp,RH,WS,WD,SR,BP,AT,AQI
01-06-2018,61.78,237.73,1.43,20.6,40.11,14.59,0.83,41.57,30.56,43.7,5.25,93.52,137.36,740.81,36.12,191.82
02-06-2018,38.33,128.2,1.1,20.52,29.29,10.97,0.73,42.91,30.01,43.06,4.07,121.45,129.31,740.79,33.3,118.8
03-06-2018,48.44,129.76,0.58,16.72,37.42,10.02,0.91,40.61,30.17,45.6,3.86,107.76,134.96,740.36,35.37,119.84
04-06-2018,54.93,183.18,0.73,18.1,35.32,15.18,0.82,39.83,29.33,42.4,5.27,106.72,129.1,740.27,38.12,155.4533333
05-06-2018,45.42,141.58,1.25,17.34,46.33,9.24,0.75,28.91,27.21,41.74,4.61,80.99,124.14,740.71,38.43,127.72
06-06-2018,49.95,149.67,1.12,21.22,31.55,17.04,0.8,28.98,28.57,48.38,3.6,177.16,95.28,740.78,35.28,133.1133333
07-06-2018,62.54,149.53,0.72,22.2,33.98,15.76,0.82,39.03,28.64,44.51,2.38,94.47,135.36,740.28,37.86,133.02
08-06-2018,78.57,180.1,0.95,18.89,35.79,14.4,0.89,27.98,28.45,48.29,3.99,70.67,78.33,740,36.05,161.9
09-06-2018,66.27,185.64,3.69,31.415,31.05,13.87,1.38,40.605,29.33,55.29,1.64,84.2,91.2,741.22,29.59,163.4933
10-06-2018,66.27,185.64,3.69,31.415,31.05,13.87,1.38,40.605,29.33,55.29,1.64,84.2,91.2,741.22,29.59,163.4933
11-06-2018,75,314.7,2.45,55.16,46.35,13.54,0.89,26.91,26.51,36.64,2.61,209.57,25.04,740,39.98,264.7
12-06-2018,124.54,669.64,2.58,37.36,50.24,16.35,0.49,19.48,26.27,38.51,3.1,204.4,130.8,739.77,40.32,699.55
13-06-2018,240.62,961.46,1.8,25.46,32.37,21.85,0.37,14.52,26.97,34.44,3.78,214.64,122.96,739.83,42.01,1064.325
14-06-2018,173.08,848.66,3,21.64,23.23,12.56,0.3,17.99,28.21,33.5,3.18,204.9,114.18,740,40.72,923.325
15-06-2018,113.74,687.85,1.25,18.27,25.31,7.67,0.55,19.94,29.62,34.75,3.11,179.01,136,740,39.81,722.3125
16-06-2018,128.88,628.9,1.22,17.42,39.79,11.47,0.62,21.29,25.63,43.24,3.26,145.21,107.53,740.02,37.23,648.625
17-06-2018,82.05,310.04,1.75,17.83,31.42,11.63,0.45,23.21,25.31,46.46,3.26,225.82,130.62,740.21,34.55,260.04
18-06-2018,108.58,225.65,1.36,28.86,28.96,13.12,0.89,28.4,25.37,43.89,2.96,228.49,98.33,740.1,34.85,261.9333333
19-06-2018,113.17,213.93,1.19,31.1,30.77,19.79,0.74,23.76,27.2,44.56,2.1,247.92,27.36,740.02,33.99,277.2333333
20-06-2018,81.71,265.75,2.22,27.19,39.26,13.99,1.15,46.34,27.37,39.98,2.11,186.19,113.31,740.33,38.47,215.75
21-06-2018,83.75,265.58,2.03,25.16,37.37,26.23,0.89,43.37,26.9,38.72,2.28,210.61,124.46,740.35,39.37,215.58
22-06-2018,83.4,281.41,2.38,34.49,42.14,18.19,0.98,55.06,25.59,36.91,2.05,157.86,132.56,740.3,41.05,231.41
23-06-2018,77.71,262.04,1.72,30.6,41.72,19.82,0.92,45.96,26.87,37.79,2.57,197.58,122.4,740.19,40.37,212.04
24-06-2018,74.04,239.33,1.38,26.71,34.31,40.37,0.77,45.67,29.22,36.45,2.71,228.54,124.05,740.07,40.07,192.8866667
25-06-2018,72.48,330.48,1.79,17.55,37.27,13.91,0.6,33.68,28.18,38.56,3.32,188.1,134.76,740,39.44,280.48
26-06-2018,55.92,197.5,1.9,25.31,41.03,13.78,0.65,23.57,26.45,43.81,2.42,204.96,41.45,740,35.41,165
27-06-2018,47.29,118,1.72,14.15,51.84,6.79,0.71,26.78,26.38,54.08,3.32,140.55,112.85,740,33.36,112
